sqlite> SELECT * FROM resultados JOIN testes_de_rede USING(TEST_ID)
   ...> ;
1|2|5|2025-08-23 12:42:29|200.134.25.51|13.332|13.497|13.854|1.0|0.01953125|1048553.5609538|1310720.0|0.376648296490387||UDP|10.0|256|10
2|2|6|2025-08-23 12:42:48|200.134.25.51||||||73896862.5927586|92735944.0||0.0|TCP|10.0|256|0
3|2|5|2025-08-23 12:44:12|200.134.25.51|13.271|13.506|13.963|0.0|0.0|1048566.35318955|1310720.0|0.137591808397763||UDP|10.0|256|10
4|2|6|2025-08-23 12:44:32|200.134.25.51||||||314404444.00882|394547080.0||0.0|TCP|10.0|256|0
5|3|5|2025-08-23 12:59:12|200.134.25.51|13.277|13.739|14.275|0.0|0.0|1048546.01158407|1310720.0|0.205275801924203||UDP|10.0|256|10
6|3|6|2025-08-23 12:59:31|200.134.25.51||||||294952689.301364|370141144.0||0.0|TCP|10.0|256|0
7|4|5|2025-08-23 13:14:12|200.134.25.51|13.221|13.728|14.365|0.0|0.0|1048548.52802857|1310720.0|0.101866484027632||UDP|10.0|256|10
8|4|6|2025-08-23 13:14:32|200.134.25.51||||||255346103.797417|320490704.0||0.0|TCP|10.0|256|0
9|5|5|2025-08-23 13:29:12|200.134.25.51|13.218|13.39|13.799|0.0|0.0|1048549.9959601|1310720.0|0.0523473940537721||UDP|10.0|256|10
10|5|6|2025-08-23 13:29:31|200.134.25.51||||||301993113.154926|379056584.0||0.0|TCP|10.0|256|0
11|32|51|2025-08-23 21:00:02|200.134.25.51||||||360024501.967347|2701994688.0||0.0|TCP|60.0|64|0
12|32|52|2025-08-23 21:01:02|200.134.25.51||||||405108242.146549|3040381109.0||0.0|TCP|60.0|125|0
13|32|53|2025-08-23 21:02:03|200.134.25.51||||||322904925.617972|2423446512.0||0.0|TCP|60.0|256|0
14|32|54|2025-08-23 21:03:03|200.134.25.51||||||330398981.566246|2479694536.0||0.0|TCP|60.0|512|0
15|32|55|2025-08-23 21:04:03|200.134.25.51||||||340537373.864491|2555804376.0||0.0|TCP|60.0|1024|0
16|32|56|2025-08-23 21:05:04|200.134.25.51||||||363909608.334025|2731252512.0||0.0|TCP|60.0|2048|0
17|32|57|2025-08-23 21:06:04|200.134.25.51||||||410193812.390186|3078647976.0||0.0|TCP|60.0|2500|0
18|32|58|2025-08-23 21:07:04|200.134.25.51||||||751200595.979934|5637975504.0||0.0|TCP|60.0|3072|0
19|9|5|2025-09-02 14:22:56|200.134.25.51|13.245|13.408|13.648|2.0|0.0390625|1048548.0037683|1310720.0|0.0942718879528459||UDP|10.0|256|10
20|9|6|2025-09-02 14:23:16|200.134.25.51||||||70565625.9792509|88584144.0||0.0|TCP|10.0|256|0
21|9|5|2025-09-02 14:25:20|200.134.25.51|13.098|13.375|14.095|2.0|0.0390625|1048547.26980481|1310720.0|0.0410493732292658||UDP|10.0|256|10
22|9|6|2025-09-02 14:25:40|200.134.25.51||||||33954270.3725798|42610432.0||0.0|TCP|10.0|256|0
23|9|5|2025-09-02 14:27:03|200.134.25.51|13.257|13.411|13.788|2.0|0.0390625|1048559.74732392|1310720.0|0.149149501034807||UDP|10.0|256|10
24|9|6|2025-09-02 14:27:23|200.134.25.51||||||53940635.888389|67695080.0||0.0|TCP|10.0|256|0
25|9|5|2025-09-02 14:29:12|200.134.25.51|13.166|13.365|13.784|5.0|0.09765625|1048563.10267384|1310720.0|0.146443281731899||UDP|10.0|256|10
26|9|6|2025-09-02 14:29:31|200.134.25.51||||||62044291.030302|77874000.0||0.0|TCP|10.0|256|0
27|10|5|2025-09-02 14:44:12|200.134.25.51|13.079|13.33|14.182|4.0|0.078125|1048562.05412468|1310720.0|0.039415514012255||UDP|10.0|256|10
28|10|6|2025-09-02 14:44:31|200.134.25.51||||||59049692.1013084|74120480.0||0.0|TCP|10.0|256|0
29|11|5|2025-09-02 14:59:12|200.134.25.51|13.18|13.376|13.89|2.0|0.0390625|1048562.78810887|1310720.0|0.074412968941256||UDP|10.0|256|10
30|11|6|2025-09-02 14:59:31|200.134.25.51||||||65811778.241311|82599968.0||0.0|TCP|10.0|256|0
31|12|5|2025-09-02 15:14:12|200.134.25.51|13.19|13.324|13.609|0.0|0.0|1048551.14933776|1310720.0|0.166773684053637||UDP|10.0|256|10
32|12|6|2025-09-02 15:14:31|200.134.25.51||||||34316913.0406074|43071016.0||0.0|TCP|10.0|256|0
33|13|5|2025-09-02 15:29:12|200.134.25.51|13.292|13.417|13.708|7.0|0.13671875|1048559.74732392|1310720.0|0.267112675738557||UDP|10.0|256|10
34|13|6|2025-09-02 15:29:31|200.134.25.51||||||55494270.8250331|69644200.0||0.0|TCP|10.0|256|0
35|14|5|2025-09-02 15:44:12|200.134.25.51|13.227|13.367|13.539|1.0|0.01953125|1048559.43276096|1310720.0|0.0449031542613708||UDP|10.0|256|10
36|14|6|2025-09-02 15:44:32|200.134.25.51||||||25522290.5383074|32028184.0||0.0|TCP|10.0|256|0
